Country;Item Type;Order Date;Order ID;Order Priority Ex;Region;Sales Channel;Ship Date;Total Cost Ch (bin);Total Cost Ch;Total Profit Ch;Total Revenue Ch;Unit Cost Ch;Unit Price Ch;Units Sold
Czech Republic;Beverages;12/09/2011;478051030;Critical;Europe;Offline;29/09/2011;148K;151892,62;74823,48;226716,1;31,79;47,45;4778
Bosnia and Herzegovina;Clothes;14/10/2013;919133651;Medium;Europe;Online;04/11/2013;0K;33223,68;68078,88;101302,56;35,84;109,28;927
Austria;Cereal;13/08/2014;987410676;Critical;Europe;Offline;06/09/2014;593K;657689,76;497521,44;1155211,2;117,11;205,7;5616
Bulgaria;Office Supplies;31/10/2010;672330081;Low;Europe;Online;29/11/2010;3264K;3289399,36;791082,5;4080481,86;524,96;651,21;6266
Estonia;Fruits;28/09/2016;579463422;Low;Europe;Online;01/11/2016;0K;34309,36;11948,78;46258,14;6,92;9,33;4958
Montenegro;Fruits;29/05/2016;313705861;Low;Europe;Offline;10/07/2016;0K;9618,8;3349,9;12968,7;6,92;9,33;1390
Czech Republic;Cereal;08/07/2011;552037513;Medium;Europe;Online;05/08/2011;1039K;1056566,42;799258,98;1855825,4;117,11;205,7;9022
Luxembourg;Vegetables;13/02/2010;744683635;Low;Europe;Offline;01/04/2010;593K;662970,63;460280,83;1123251,46;90,93;154,06;7291
Switzerland;Meat;21/03/2014;169378983;Low;Europe;Online;10/04/2014;593K;678323,4;106392;784715,4;364,69;421,89;1860
Finland;Beverages;16/03/2012;566428315;High;Europe;Online;23/03/2012;148K;240999,99;118718,46;359718,45;31,79;47,45;7581
Belgium;Snacks;12/01/2015;519380223;Medium;Europe;Online;17/01/2015;445K;487687,2;275975,7;763662,9;97,44;152,58;5005
San Marino;Office Supplies;13/04/2014;904589211;High;Europe;Online;04/05/2014;3561K;3624848,8;871756,25;4496605,05;524,96;651,21;6905
Bosnia and Herzegovina;Baby Food;04/04/2015;184412229;Critical;Europe;Online;07/04/2015;0K;84652,02;50901,66;135553,68;159,42;255,28;531
Netherlands;Meat;08/03/2017;747774398;Medium;Europe;Offline;03/04/2017;593K;698746,04;109595,2;808341,24;364,69;421,89;1916
Russia;Household;10/07/2017;194176757;Medium;Europe;Online;20/08/2017;0K;36182,88;11932,56;48115,44;502,54;668,27;72
